file,cluster
05-071-08547_1629588__2162342___2009-08-28.tif,1
05-067-06752_17778128__2044347___2007-09-06.tif,2
05-067-08357_1794217__2056499___2007-05-11.tif,2
05-067-05272_400907698__3688065___2015-09-28.tif,1
05-071-09118_400779881__3501141___2014-08-19.tif,1
05-067-09090_401048820__3641559___2015-07-09.tif,1
05-067-07245_2222044__2853134___2011-10-13.tif,2
05-071-06296_2514462__2928255___2012-05-25.tif,1
05-067-06328_17777072__2040337___2009-04-08.tif,2
05-067-09468_1701526__2040587___2009-04-03.tif,2
05-071-06601_2524622__2669149___2010-11-05.tif,1
05-067-05120_1794499__2061686___2009-06-03.tif,2
05-067-07605_1173026__921605___2001-11-05.tif,2
05-067-07640_400998495__3611493___2015-05-18.tif,1
05-067-05707_1331522__513948___2000-05-30.tif,1
05-067-08377_1794463__2061738___2007-03-23.tif,2
05-067-05150_400825902__3311759___2011-08-01.tif,0
05-067-08648_401125733__3967309___2016-09-30.tif,2
05-067-06655_1631329__2202332___2009-09-10.tif,2
05-067-05742_2521125__2534867___2010-05-21.tif,0
05-067-09482_400964091__3611579___2015-05-18.tif,1
05-067-07138_2445029__2854310___2012-01-13.tif,2
05-067-09442_400941603__3626144___2015-06-11.tif,1
05-067-09544_1701605__2040431___2009-03-18.tif,1
05-067-07984_401044685__3516202___2014-12-26.tif,0
05-067-05076_1631383__2202282___2009-10-15.tif,2
05-067-07067_1631234__2202431___2009-11-25.tif,2
05-067-05475_1793252__2056920___2007-07-06.tif,0
05-067-05600_401160651__4007360___2016-11-14.tif,0
05-067-06981_1631216__2202449___2009-11-25.tif,2
05-067-06566_1631295__2202366___2009-09-10.tif,2
05-067-05188_2215510__2764188___2011-08-19.tif,1
05-067-07791_1173133__260393___2003-06-19.tif,2
05-071-08423_400760909__3402040___2014-08-05.tif,1
05-067-09075_17777995__2044434___2007-09-26.tif,2
05-067-07878_2213558__2692378___2011-03-31.tif,2
05-067-08964_401126157__3962652___2016-09-22.tif,0
05-071-06920_2485227__3048845___2013-01-18.tif,1
05-067-06895_400815837__3420880___2014-08-07.tif,0
05-067-08479_2515216__2953988___2012-07-16.tif,1
05-071-06113_2524640__2669167___2010-11-05.tif,1
05-067-07791_401106717__3932161___2016-08-18.tif,1
05-067-06915_401107049__3932323___2016-08-18.tif,2
05-067-06530_400718413__3458083___2014-10-14.tif,1
05-071-09219_2110903__2665280___2010-12-02.tif,1
05-067-09171_2213563__2692383___2011-03-31.tif,2
05-067-06843_401157950__4007304___2016-11-14.tif,0
05-007-06224_1793212__2057063___2007-06-28.tif,2
05-067-09564_2215438__2764116___2011-08-19.tif,1
05-067-07028_400967213__3611551___2015-05-18.tif,1
05-067-08870_2541092__2794367___2011-08-12.tif,1
05-067-07482_401117864__3900389___2016-06-29.tif,1
05-067-06505_1173131__619625___2003-06-19.tif,1
05-067-08326_400942923__3626103___2015-06-11.tif,1
05-067-06850_2606632__2532906___2009-08-27.tif,2
05-067-08247_2214802__2732176___2011-06-23.tif,1
05-067-07004_401111073__3932500___2016-08-18.tif,2
05-067-05602_2222357__2860710___2011-11-16.tif,0
05-071-09167_1629521__2162409___2009-07-17.tif,1
05-067-05091_401190376__4054605___2017-01-17.tif,0
